TotalT,Temp,LSR,CA,Size,IsoT,F_X,Yield Lvls
19,468.15,10,0.076468969,1,7,18.75,2
180,368.15,10,0.20261577,0.5125,175,16.3,3
735.375,373.525,10,1.325462127,0.5,660,19.77272727,3
180,443.15,4,0,10.35,120,20.47,2
12,393.15,20,0.1,0.25,10,20.90909091,2
49.69643443,398.15,8,0.305903946,8,37.19643443,18.86363636,3
80,423.15,10,0.20261577,50,45,16.81818182,2
59.97583182,418.15,8,0,5,39.97583182,17.84090909,1
89.9064033,443.15,6,0,5,89.9064033,21.59090909,1
45,453.15,4,0.288792625,20,40,19.33,2
24.625,463.15,8,0,8,4,18.86363636,1
67.40691057,493.15,40,0,0.425,62.66666667,20.9,1
60,398.15,8,1.215694618,0.5,59.03101852,33.20454545,2
362.3935361,373.65,8,0.101967982,8,352.9560361,18.86363636,3
61.12750302,408.15,8,0.101967982,8,47.37750302,18.86363636,3
13.24218393,398.15,8,0.203935964,8,0.742183929,18.86363636,3
60,373.15,10,0.305875876,0.425,60,15,1
60.11413236,433.15,6,0,5,60.11413236,21.59090909,1
170.5869418,388.15,8,0.407871928,8,159.3369418,18.86363636,3
20,443.15,4,0.25,0.5,20,14.64,1
59.90526442,438.15,8,0,5,39.90526442,17.84090909,1
110.3068284,408.15,8,0.101967982,8,96.55682838,18.86363636,2
75,418.15,8,0,8,60,18.86363636,1
60,363.15,10,0.20261577,0.5125,55,16.3,1
75.2,373.35,10,0.713710376,0.5,0,19.77272727,1
180,413.15,10,0,4,150,11.932,1
675.375,373.525,10,1.325462127,0.5,600,19.77272727,3
29.99563077,433.15,6,0,5,29.99563077,15.1,1
60,443.15,4,0.045708819,0.42,60,25.02272727,1
50,443.15,15,0,0.177,40,12.16,1
80,443.15,10,0,0.178,50,19.77272727,2
20,433.15,6,0.5,0.5,20,14.64,3
232.5448736,388.15,8,0.101967982,8,221.2948736,18.86363636,2
119.7226164,433.15,6,0,0.595,119.7226164,15.1,3
85,443.15,5,0.15,3,55,16.93181818,2
66.64793165,440.15,6,0,5,44.46043165,15.02,2
332.497806,373.65,8,0.203935964,8,323.060306,18.86363636,3
171.540018,440.15,6,0,5,149.352518,15.02,2
79.94575903,418.15,8,0,5,59.94575903,16.70454545,1
1.942446043,433.15,9,0.101958625,0.84,4,16.59,2
360.3325607,433.15,6,0,0.595,360.3325607,15.1,2
106.7767988,448.15,20,0.101958625,0.5,61.77679883,18.74431818,1
79.1044667,373.65,8,0.203935964,8,69.6669667,18.86363636,3
10,463.15,8,8.51E-06,0.509,10,21.375,2
41.19267552,373.65,8,0.203935964,8,31.75517552,18.86363636,3
28.83008122,373.65,8,0.305903946,8,19.39258122,18.86363636,3
15.61592107,398.15,8,0.101967982,8,3.115921072,18.86363636,3
232,430.6045455,7.69,0,5,165,14.5,2
393.4158978,373.65,8,0.203935964,8,383.9783978,18.86363636,3
50,403.15,10,0.815669002,0.5,15,19.77272727,2
70,453.15,15,0,0.177,60,12.16,2
20,433.15,6,0.5,0.5,20,14.64,2
10.03333333,443.15,3.9,0.0815669,0.38,9.7,21.93181818,2
180.2581937,428.15,8,0,5,160.2581937,17.84090909,1
15,443.15,5,0,1,10,23.86363636,1
92.69544271,398.15,8,0.101967982,8,80.19544271,18.86363636,3
60,383.15,10,0.305875876,0.425,60,15,2
170.157572,373.65,8,0.203935964,8,160.720072,18.86363636,3
458.8704433,373.65,8,0.203935964,8,449.4329433,18.86363636,3
675.4,373.55,10,1.631338003,0.5,600,19.77272727,3
30,373.15,10,0.20391725,0.425,30,15,1
45,423.15,8,0.1,0.515,45,17.95454545,2
17,448.15,10,0.076468969,1,7,18.75,3
90,383.15,10,0.305875876,0.425,90,15,3
50,453.15,19,0,0.42,50,12.95454545,2
17.62913279,493.15,40,0,0.425,12.88888889,20.9,2
24.93076923,433.15,10,0.101958625,0.5,22.43076923,20.909,3
